term,estimate,std.error,statistic,p.value
(Intercept),22.036236559139862,0.904921344816905,24.351549099108176,5.548704256824443e-54
as.factor(Individual)2,4.348333333333266,1.1875596324082738,3.661570513739341,3.4680989665425416e-4
as.factor(Individual)3,7.021666666666656,1.1875596324082838,5.912685540200816,2.1850145942769674e-8
as.factor(Individual)4,5.449999999999929,1.1875596324082736,4.589243227262429,9.33442006757433e-6
as.factor(Individual)5,-0.8716666666667162,1.187559632408274,-0.7339982287028799,0.4640955758770072
as.factor(Individual)6,5.961666666666648,1.1875596324082829,5.020098784072704,1.4459143601335284e-6
as.factor(Individual)7,7.898333333333256,1.1875596324082738,6.650894083791045,5.100724001877828e-10
as.factor(Individual)8,-1.0983333333333725,1.187559632408277,-0.9248658369315226,0.35652119435088026
as.factor(Individual)9,8.92166666666659,1.1875596324082762,7.51260519741157,4.840729458526397e-12
as.factor(Individual)10,5.961666666666646,1.1875596324082833,5.0200987840727,1.4459143601335455e-6
as.factor(Individual)11,2.8649999999999536,1.1875596324082773,2.4125104304783074,0.017050313654790705
as.factor(Individual)12,2.808333333333297,1.1875596324082807,2.364793528421146,0.019320077886354703
as.factor(Individual)13,4.8133333333332855,1.1875596324082778,4.0531297982672445,8.088161686510655e-5
as.factor(Individual)14,5.296666666666639,1.187559632408282,4.460126904048932,1.5968224322512832e-5
as.factor(Individual)15,0.8399999999999592,1.1875596324082796,0.7073329010826209,0.48045710803317965
as.factor(Individual)16,2.5516666666666263,1.1875596324082793,2.1486640308681118,0.03326593111672727
as.factor(Individual)17,5.386666666666604,1.1875596324082736,4.5359125720220765,1.1666620467616333e-5
as.factor(Individual)18,1.1149999999999463,1.1875596324082742,0.9389002198894358,0.3492913755062286
as.factor(Individual)19,7.158333333333278,1.1875596324082767,6.027767480456325,1.2359636858423975e-8
as.factor(Individual)20,-2.0100000000000375,1.1875596324082778,-1.6925465847335306,0.09261786493956842
as.factor(Individual)21,1.116666666666622,1.1875596324082787,0.940303658185239,0.34857360041921903
as.factor(Individual)22,0.3316666666666186,1.187559632408278,0.2792842208639448,0.7804114210702813
as.factor(Individual)23,1.466666666666619,1.1875596324082767,1.2350257003030116,0.21875195278939089
as.factor(Individual)24,2.9799999999999494,1.1875596324082767,2.5093476728884307,0.013157648164968741
as.factor(Individual)25,-3.065000000000037,1.187559632408277,-2.5809230259742484,0.01081242849749885
as.factor(Individual)26,1.2199999999999545,1.1875596324082787,1.0273168325247712,0.30592506729232977
as.factor(Individual)27,5.169999999999951,1.1875596324082776,4.353465593568213,2.4684629561052293e-5
as.factor(Individual)28,-2.271666666666707,1.1875596324082778,-1.9128863971739636,0.05766812176872306
as.factor(Individual)29,-4.635000000000049,1.1875596324082773,-3.9029619006168423,1.4313680245481894e-4
as.factor(Individual)30,8.013333333333286,1.1875596324082778,6.747731326201173,3.063316661930158e-10
as.factor(Individual)31,5.121666666666616,1.1875596324082776,4.3127658829900435,2.9092116670835026e-5
as.factor(Chopstick.Length)210,0.5487096774193417,0.5224565820254786,1.0502493341974641,0.2952926088307819
as.factor(Chopstick.Length)240,1.3877419354838576,0.5224565820254783,2.6561861468063244,0.008757765274148174
as.factor(Chopstick.Length)270,-0.611290322580659,0.5224565820254785,-1.1700308573217446,0.24384421346190607
as.factor(Chopstick.Length)300,0.03290322580643816,0.5224565820254784,0.06297791421992954,0.9498679347048118
as.factor(Chopstick.Length)330,-0.9354838709677554,0.5224565820254784,-1.7905485415477742,0.07538262049081483
